Student Survey,"","","","","","","","","","","","","","",Employee Survey,"","","","","","","","","","","","","","","","","","","","","","","","","","","",Guardian Surveys,"","","","","","","","","","","","","","","","","","","","","","","",""
01M458 - Forsyth Satellite Academy,,76.0,87.0,91.0,98.0,94.0,99.0,99.0,85.0,89.0,98.0,96.0,87.0,97.0,93.0,,88.0,,,71.0,91.0,90.0,,94.0,100.0,91.0,99.0,95.0,100.0,73.0,100.0,100.0,80.0,,97.0,100.0,93.0,100.0,,94.0,99.0,96.0,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,100.0,99.0,100.0,100.0,100.0,
01M515 - Lower East Side Preparatory High School,,70.0,89.0,80.0,93.0,90.0,92.0,95.0,82.0,78.0,92.0,87.0,72.0,89.0,90.0,,95.0,,,85.0,95.0,96.0,,100.0,96.0,94.0,98.0,99.0,100.0,90.0,100.0,95.0,83.0,,98.0,96.0,95.0,99.0,,85.0,98.0,100.0,,,,,,,,,,,,,,,,,,98.0,100.0,98.0,95.0,85.0,97.0,98.0,93.0,
"01M539 - New Explorations into Science, Technology and Math High School",,72.0,80.0,83.0,91.0,85.0,92.0,89.0,73.0,74.0,88.0,73.0,63.0,89.0,85.0,,89.0,,,87.0,92.0,94.0,,95.0,98.0,91.0,91.0,98.0,96.0,70.0,89.0,73.0,79.0,91.0,98.0,90.0,86.0,94.0,,76.0,92.0,93.0,,,,,,,,,,,,,,,,,96.0,95.0,96.0,97.0,95.0,93.0,98.0,97.0,84.0,
01M650 - Cascades High School,,69.0,96.0,84.0,93.0,87.0,100.0,100.0,88.0,75.0,91.0,87.0,79.0,91.0,91.0,,87.0,,,49.0,100.0,99.0,,100.0,98.0,72.0,98.0,98.0,95.0,79.0,95.0,95.0,55.0,,90.0,83.0,85.0,,,89.0,97.0,79.0,,,,,,,,,,,,,,,,,,100.0,,100.0,100.0,84.0,100.0,100.0,90.0,
01M696 - Bard High School Early College,,79.0,88.0,83.0,94.0,82.0,90.0,93.0,77.0,78.0,86.0,67.0,61.0,90.0,88.0,,88.0,,,73.0,77.0,88.0,,92.0,94.0,80.0,79.0,93.0,85.0,74.0,77.0,74.0,80.0,,86.0,67.0,78.0,81.0,,76.0,82.0,77.0,,,,,,,,,,,,,,,,,,92.0,83.0,94.0,90.0,85.0,95.0,93.0,84.0,
01M839 - Tompkins Square Middle School,,64.0,65.0,72.0,88.0,84.0,93.0,87.0,69.0,43.0,85.0,63.0,59.0,62.0,80.0,,97.0,,,75.0,91.0,98.0,,100.0,100.0,91.0,91.0,98.0,100.0,36.0,91.0,91.0,69.0,,97.0,79.0,96.0,,,96.0,91.0,91.0,,,,,,,,,,,,,,,,,,86.0,62.0,91.0,87.0,90.0,86.0,94.0,81.0,
02M047 - 47 The American Sign Language and English Secondary School,,61.0,74.0,67.0,83.0,71.0,88.0,90.0,61.0,73.0,87.0,51.0,54.0,82.0,78.0,,56.0,,,43.0,71.0,81.0,,95.0,86.0,53.0,51.0,87.0,57.0,72.0,53.0,58.0,49.0,,48.0,57.0,65.0,77.0,,41.0,49.0,74.0,,,,,,,,,,,,,,,,,,100.0,100.0,99.0,97.0,84.0,99.0,99.0,91.0,
02M104 - J.H.S. 104 Simon Baruch,,56.0,59.0,69.0,80.0,69.0,81.0,79.0,56.0,47.0,76.0,48.0,53.0,66.0,73.0,,87.0,,,81.0,85.0,94.0,,95.0,95.0,81.0,89.0,95.0,91.0,28.0,87.0,85.0,74.0,,95.0,86.0,79.0,98.0,,50.0,92.0,90.0,,,,,,,,,,,,,,,,,,91.0,80.0,95.0,89.0,86.0,96.0,94.0,84.0,
02M114 - East Side Middle School,,62.0,61.0,77.0,82.0,66.0,82.0,95.0,62.0,60.0,88.0,67.0,60.0,75.0,79.0,,91.0,,,83.0,79.0,93.0,,96.0,99.0,91.0,77.0,99.0,82.0,37.0,81.0,81.0,81.0,,93.0,95.0,92.0,91.0,,69.0,72.0,100.0,,,,,,,,,,,,,,,,,,94.0,91.0,95.0,91.0,94.0,94.0,96.0,91.0,
02M126 - P.S. 126 Jacob August Riis,,59.0,61.0,74.0,82.0,77.0,82.0,90.0,61.0,53.0,78.0,46.0,53.0,66.0,80.0,,84.0,100.0,80.0,67.0,70.0,86.0,100.0,93.0,91.0,65.0,83.0,91.0,76.0,34.0,68.0,68.0,59.0,71.0,78.0,64.0,69.0,73.0,90.0,45.0,80.0,89.0,80.0,,,,,,,,,,,,,,,,94.0,94.0,97.0,99.0,95.0,90.0,99.0,98.0,86.0,
02M131 - M.S. 131,,58.0,62.0,67.0,77.0,73.0,84.0,83.0,62.0,56.0,77.0,55.0,54.0,64.0,75.0,,95.0,,,77.0,93.0,96.0,,96.0,99.0,90.0,95.0,96.0,92.0,63.0,94.0,88.0,61.0,,96.0,92.0,82.0,80.0,,80.0,98.0,92.0,,,,,,,,,,,,,,,,,,92.0,84.0,97.0,94.0,91.0,97.0,98.0,89.0,
02M135 - The Urban Assembly Early College High School of Emergency Medicine,,62.0,69.0,64.0,83.0,79.0,90.0,88.0,61.0,60.0,80.0,58.0,52.0,69.0,76.0,,90.0,,,58.0,88.0,94.0,,95.0,99.0,87.0,94.0,99.0,91.0,58.0,87.0,92.0,60.0,,82.0,75.0,85.0,98.0,,79.0,89.0,96.0,,,,,,,,,,,,,,,,,,89.0,95.0,92.0,91.0,77.0,90.0,92.0,85.0,
02M139 - Stephen T. Mather Building Arts & Craftsmanship High School,,71.0,81.0,79.0,90.0,85.0,94.0,93.0,78.0,65.0,86.0,78.0,59.0,78.0,89.0,,87.0,,,63.0,83.0,93.0,,95.0,96.0,93.0,85.0,96.0,86.0,53.0,76.0,84.0,67.0,,94.0,87.0,86.0,92.0,,82.0,93.0,93.0,,,,,,,,,,,,,,,,,,99.0,90.0,98.0,94.0,86.0,96.0,98.0,93.0,
02M167 - J.H.S. 167 Robert F. Wagner,,55.0,57.0,66.0,79.0,68.0,83.0,72.0,58.0,48.0,84.0,54.0,56.0,64.0,76.0,,83.0,,,58.0,70.0,86.0,,96.0,90.0,84.0,83.0,88.0,86.0,16.0,75.0,74.0,60.0,,82.0,94.0,80.0,83.0,,56.0,84.0,88.0,,,,,,,,,,,,,,,,,,89.0,90.0,93.0,89.0,89.0,93.0,93.0,84.0,
02M177 - Yorkville East Middle School,,68.0,81.0,85.0,90.0,88.0,92.0,96.0,78.0,77.0,95.0,71.0,69.0,81.0,86.0,,95.0,,,94.0,100.0,94.0,,100.0,100.0,100.0,100.0,100.0,100.0,86.0,100.0,95.0,92.0,,100.0,98.0,98.0,98.0,,90.0,100.0,100.0,,,,,,,,,,,,,,,,,,96.0,100.0,98.0,93.0,94.0,97.0,97.0,91.0,
02M217 - P.S./I.S. 217 Roosevelt Island,,67.0,68.0,69.0,79.0,69.0,79.0,72.0,59.0,41.0,87.0,64.0,55.0,62.0,80.0,,88.0,,,63.0,70.0,92.0,,88.0,97.0,74.0,84.0,95.0,86.0,16.0,90.0,83.0,49.0,92.0,77.0,79.0,78.0,96.0,,53.0,81.0,76.0,,,,,,,,,,,,,,,53.0,93.0,86.0,92.0,78.0,90.0,91.0,95.0,91.0,95.0,79.0,89.0
02M225 - Ella Baker School,,72.0,61.0,81.0,87.0,75.0,86.0,87.0,69.0,59.0,89.0,43.0,58.0,65.0,79.0,,86.0,,,68.0,71.0,92.0,73.0,100.0,95.0,79.0,76.0,98.0,74.0,38.0,57.0,63.0,66.0,96.0,91.0,71.0,83.0,87.0,,59.0,83.0,92.0,,,,,,,,,,,,,,,86.0,95.0,91.0,90.0,93.0,94.0,93.0,93.0,92.0,96.0,81.0,100.0
02M255 - M.S. 255 Salk School of Science,,67.0,68.0,79.0,85.0,75.0,84.0,82.0,67.0,66.0,87.0,52.0,59.0,79.0,81.0,,92.0,,,85.0,91.0,92.0,,100.0,97.0,90.0,96.0,95.0,97.0,52.0,96.0,97.0,82.0,,97.0,73.0,92.0,99.0,,91.0,96.0,93.0,,,,,,,,,,,,,,,,,,94.0,86.0,99.0,92.0,88.0,99.0,96.0,85.0,
02M260 - The Clinton School,,66.0,75.0,72.0,85.0,70.0,86.0,84.0,64.0,67.0,91.0,71.0,58.0,82.0,80.0,,86.0,,,82.0,74.0,82.0,,90.0,93.0,76.0,78.0,87.0,80.0,56.0,70.0,65.0,78.0,,90.0,76.0,85.0,72.0,,72.0,81.0,82.0,,,,,,,,,,,,,,,,,,85.0,68.0,88.0,82.0,82.0,87.0,86.0,88.0,
02M276 - Battery Park City School,,60.0,59.0,75.0,81.0,57.0,78.0,83.0,60.0,52.0,88.0,55.0,54.0,65.0,76.0,,87.0,,,79.0,93.0,90.0,94.0,95.0,98.0,78.0,88.0,97.0,85.0,53.0,77.0,71.0,66.0,100.0,97.0,90.0,90.0,82.0,,75.0,90.0,95.0,,,,,,,,,,,,,,,20.0,73.0,90.0,85.0,90.0,92.0,88.0,93.0,92.0,93.0,85.0,89.0
02M280 - Manhattan Early College School for Advertising,,65.0,77.0,72.0,90.0,82.0,91.0,94.0,69.0,69.0,87.0,65.0,57.0,74.0,82.0,,71.0,,,49.0,76.0,76.0,,86.0,89.0,61.0,61.0,88.0,57.0,30.0,55.0,67.0,51.0,,64.0,42.0,67.0,90.0,,54.0,66.0,82.0,,,,,,,,,,,,,,,,,,91.0,82.0,92.0,91.0,78.0,92.0,94.0,93.0,
02M282 - Urban Assembly Maker Academy,,71.0,89.0,81.0,93.0,88.0,94.0,95.0,78.0,80.0,93.0,69.0,68.0,87.0,90.0,,85.0,,,67.0,91.0,93.0,,99.0,99.0,78.0,84.0,99.0,85.0,71.0,69.0,84.0,69.0,,87.0,51.0,82.0,94.0,,80.0,91.0,89.0,,,,,,,,,,,,,,,,,,93.0,93.0,97.0,93.0,85.0,97.0,96.0,90.0,
02M288 - Food and Finance High School,,62.0,71.0,66.0,89.0,83.0,89.0,93.0,67.0,56.0,80.0,62.0,57.0,70.0,84.0,,76.0,,,49.0,69.0,78.0,,97.0,98.0,77.0,66.0,89.0,75.0,41.0,57.0,58.0,58.0,,74.0,34.0,78.0,67.0,,53.0,73.0,73.0,,,,,,,,,,,,,,,,,,98.0,98.0,99.0,99.0,93.0,94.0,99.0,98.0,
02M289 - I.S. 289,,61.0,58.0,72.0,79.0,63.0,77.0,84.0,57.0,59.0,86.0,60.0,54.0,68.0,72.0,,93.0,,,79.0,80.0,84.0,,90.0,93.0,72.0,60.0,86.0,65.0,70.0,62.0,60.0,79.0,,93.0,97.0,82.0,88.0,,76.0,73.0,80.0,,,,,,,,,,,,,,,,,,91.0,90.0,96.0,90.0,88.0,96.0,95.0,91.0,
02M294 - Essex Street Academy,,69.0,91.0,79.0,94.0,86.0,96.0,94.0,81.0,79.0,93.0,84.0,67.0,92.0,91.0,,92.0,,,88.0,93.0,98.0,,100.0,99.0,95.0,91.0,98.0,94.0,83.0,90.0,88.0,86.0,,97.0,97.0,97.0,99.0,,93.0,96.0,99.0,,,,,,,,,,,,,,,,,,92.0,84.0,97.0,93.0,89.0,97.0,95.0,91.0,
02M296 - High School of Hospitality Management,,54.0,69.0,68.0,86.0,78.0,91.0,88.0,65.0,66.0,84.0,67.0,56.0,71.0,81.0,,75.0,,,49.0,100.0,90.0,,100.0,100.0,66.0,73.0,91.0,76.0,64.0,67.0,70.0,57.0,,58.0,76.0,83.0,,,60.0,72.0,94.0,,,,,,,,,,,,,,,,,,93.0,,92.0,90.0,81.0,97.0,100.0,82.0,
02M297 - M.S. 297,,66.0,65.0,68.0,82.0,73.0,86.0,83.0,68.0,53.0,85.0,63.0,61.0,62.0,75.0,,76.0,,,67.0,92.0,91.0,,97.0,100.0,95.0,76.0,98.0,77.0,54.0,62.0,80.0,69.0,,82.0,100.0,88.0,,,73.0,73.0,95.0,,,,,,,,,,,,,,,,,,84.0,85.0,95.0,85.0,88.0,95.0,89.0,87.0,
02M298 - Pace High School,,65.0,73.0,70.0,89.0,82.0,91.0,91.0,71.0,60.0,80.0,64.0,58.0,75.0,83.0,,77.0,,,49.0,59.0,87.0,,91.0,90.0,51.0,70.0,82.0,66.0,41.0,50.0,55.0,47.0,,74.0,59.0,67.0,91.0,,76.0,69.0,77.0,,,,,,,,,,,,,,,,,,91.0,85.0,94.0,91.0,84.0,96.0,92.0,87.0,
"02M303 - Facing History School, The",,67.0,76.0,69.0,87.0,81.0,88.0,87.0,73.0,64.0,82.0,67.0,62.0,74.0,84.0,,94.0,,,78.0,95.0,96.0,,96.0,98.0,90.0,96.0,98.0,93.0,53.0,92.0,94.0,78.0,,90.0,73.0,88.0,96.0,,88.0,98.0,95.0,,,,,,,,,,,,,,,,,,89.0,89.0,91.0,91.0,84.0,92.0,91.0,79.0,
"02M305 - Urban Assembly Academy of Government and Law, The",,73.0,85.0,81.0,88.0,88.0,92.0,92.0,75.0,72.0,87.0,77.0,62.0,84.0,86.0,,96.0,,,76.0,88.0,95.0,,96.0,99.0,86.0,94.0,98.0,91.0,68.0,87.0,88.0,80.0,,84.0,80.0,85.0,100.0,,78.0,92.0,92.0,,,,,,,,,,,,,,,,,,94.0,96.0,97.0,95.0,81.0,98.0,97.0,94.0,
02M308 - Lower Manhattan Arts Academy,,57.0,69.0,63.0,90.0,81.0,87.0,89.0,64.0,66.0,85.0,65.0,57.0,78.0,83.0,,79.0,,,69.0,85.0,92.0,,94.0,94.0,68.0,78.0,86.0,71.0,81.0,64.0,72.0,70.0,,82.0,87.0,62.0,96.0,,73.0,89.0,74.0,,,,,,,,,,,,,,,,,,83.0,80.0,94.0,88.0,79.0,94.0,90.0,85.0,
02M312 - New York City Lab Middle School for Collaborative Studies,,62.0,65.0,77.0,84.0,70.0,87.0,83.0,65.0,65.0,85.0,63.0,58.0,74.0,81.0,,92.0,,,73.0,78.0,95.0,,95.0,97.0,92.0,86.0,99.0,94.0,44.0,92.0,86.0,74.0,,94.0,87.0,89.0,87.0,,82.0,91.0,94.0,,,,,,,,,,,,,,,,,,93.0,96.0,98.0,92.0,89.0,99.0,96.0,91.0,
"02M313 - James Baldwin School, The: A School for Expeditionary Learning",,74.0,90.0,85.0,96.0,93.0,96.0,95.0,89.0,83.0,91.0,87.0,75.0,92.0,95.0,,96.0,,,61.0,100.0,99.0,,100.0,100.0,95.0,100.0,99.0,100.0,81.0,96.0,100.0,81.0,,96.0,92.0,98.0,100.0,,99.0,100.0,96.0,,,,,,,,,,,,,,,,,,98.0,94.0,96.0,94.0,87.0,95.0,97.0,93.0,
"02M316 - Urban Assembly School of Business for Young Women, the",,70.0,82.0,73.0,84.0,85.0,87.0,91.0,81.0,71.0,92.0,69.0,66.0,80.0,90.0,,97.0,,,88.0,90.0,100.0,,100.0,100.0,100.0,100.0,100.0,100.0,80.0,100.0,97.0,90.0,,100.0,100.0,96.0,,,96.0,100.0,100.0,,,,,,,,,,,,,,,,,,96.0,91.0,95.0,95.0,73.0,96.0,96.0,91.0,
02M347 - The 47 American Sign Language & English Lower School,,69.0,71.0,65.0,85.0,85.0,96.0,89.0,75.0,59.0,89.0,45.0,65.0,67.0,82.0,,74.0,93.0,100.0,50.0,68.0,67.0,89.0,50.0,76.0,38.0,61.0,76.0,52.0,17.0,56.0,48.0,38.0,83.0,56.0,29.0,49.0,57.0,93.0,45.0,67.0,57.0,86.0,,,,,,,,,,,,,,67.0,92.0,85.0,70.0,60.0,71.0,79.0,75.0,68.0,86.0,83.0,80.0
02M374 - Gramercy Arts High School,,63.0,72.0,75.0,93.0,87.0,90.0,91.0,69.0,69.0,87.0,65.0,53.0,83.0,83.0,,79.0,,,74.0,73.0,82.0,,92.0,94.0,72.0,63.0,97.0,70.0,63.0,62.0,62.0,72.0,,64.0,80.0,73.0,88.0,,56.0,60.0,71.0,,,,,,,,,,,,,,,,,,83.0,100.0,83.0,90.0,90.0,88.0,96.0,83.0,
02M376 - NYC iSchool,,74.0,89.0,83.0,95.0,88.0,94.0,89.0,81.0,80.0,94.0,76.0,65.0,93.0,89.0,,87.0,,,83.0,97.0,93.0,,99.0,97.0,94.0,96.0,94.0,94.0,86.0,95.0,85.0,80.0,,90.0,72.0,92.0,94.0,,89.0,95.0,92.0,,,,,,,,,,,,,,,,,,93.0,90.0,97.0,92.0,83.0,98.0,95.0,89.0,
02M392 - Manhattan Business Academy,,72.0,87.0,81.0,91.0,88.0,93.0,93.0,78.0,71.0,91.0,72.0,66.0,84.0,88.0,,89.0,,,85.0,94.0,97.0,,97.0,99.0,97.0,95.0,98.0,95.0,65.0,92.0,86.0,81.0,,94.0,99.0,96.0,95.0,,92.0,95.0,99.0,,,,,,,,,,,,,,,,,,96.0,93.0,97.0,92.0,81.0,95.0,93.0,91.0,
02M393 - Business Of Sports School,,60.0,74.0,69.0,85.0,80.0,87.0,87.0,67.0,61.0,82.0,70.0,58.0,70.0,80.0,,95.0,,,58.0,92.0,97.0,,99.0,100.0,79.0,95.0,97.0,96.0,56.0,88.0,95.0,55.0,,96.0,99.0,87.0,98.0,,86.0,100.0,98.0,,,,,,,,,,,,,,,,,,91.0,93.0,97.0,92.0,87.0,98.0,95.0,92.0,
02M394 - Emma Lazarus High School,,72.0,89.0,82.0,91.0,86.0,92.0,94.0,79.0,89.0,90.0,81.0,72.0,89.0,90.0,,98.0,,,95.0,90.0,84.0,,98.0,98.0,97.0,99.0,100.0,98.0,95.0,98.0,97.0,88.0,,100.0,85.0,94.0,100.0,,80.0,94.0,93.0,,,,,,,,,,,,,,,,,,94.0,,96.0,95.0,78.0,98.0,96.0,87.0,
02M395 - A School Without Walls,,67.0,80.0,77.0,90.0,80.0,94.0,91.0,78.0,78.0,90.0,73.0,64.0,88.0,86.0,,78.0,,,42.0,83.0,89.0,,91.0,94.0,81.0,87.0,93.0,87.0,92.0,79.0,81.0,33.0,,67.0,92.0,83.0,92.0,,92.0,79.0,90.0,,,,,,,,,,,,,,,,,,91.0,86.0,90.0,89.0,88.0,90.0,91.0,82.0,
02M397 - Spruce Street School,,63.0,58.0,79.0,83.0,64.0,85.0,86.0,65.0,73.0,91.0,60.0,61.0,78.0,79.0,,89.0,,,89.0,90.0,92.0,,93.0,97.0,91.0,89.0,98.0,95.0,94.0,95.0,87.0,87.0,100.0,97.0,96.0,90.0,95.0,,71.0,90.0,90.0,,,,,,,,,,,,,,,75.0,100.0,86.0,91.0,79.0,87.0,88.0,94.0,89.0,93.0,79.0,100.0
02M399 - The High School For Language And Diplomacy,,69.0,76.0,73.0,85.0,87.0,88.0,91.0,74.0,86.0,92.0,68.0,62.0,86.0,87.0,,92.0,,,75.0,94.0,99.0,,95.0,100.0,84.0,96.0,97.0,100.0,88.0,98.0,98.0,75.0,,100.0,88.0,87.0,,,87.0,98.0,90.0,,,,,,,,,,,,,,,,,,88.0,,86.0,87.0,86.0,94.0,94.0,85.0,
02M400 - High School for Environmental Studies,,64.0,78.0,74.0,89.0,85.0,88.0,88.0,69.0,70.0,87.0,68.0,58.0,85.0,84.0,,83.0,,,78.0,91.0,90.0,,96.0,98.0,79.0,88.0,88.0,87.0,74.0,78.0,79.0,74.0,,84.0,72.0,85.0,87.0,,77.0,88.0,86.0,,,,,,,,,,,,,,,,,,95.0,88.0,94.0,92.0,79.0,95.0,96.0,87.0,
02M407 - Institute for Collaborative Education,,84.0,94.0,88.0,96.0,82.0,88.0,94.0,82.0,79.0,86.0,59.0,86.0,91.0,87.0,,93.0,,,86.0,89.0,91.0,,100.0,97.0,91.0,74.0,100.0,100.0,67.0,82.0,74.0,80.0,,100.0,26.0,93.0,,,67.0,97.0,96.0,,,,,,,,,,,,,,,,,,88.0,92.0,94.0,89.0,91.0,94.0,94.0,79.0,
02M408 - Professional Performing Arts High School,,66.0,67.0,70.0,90.0,74.0,90.0,66.0,65.0,63.0,82.0,42.0,58.0,82.0,79.0,,88.0,,,73.0,96.0,93.0,,100.0,100.0,85.0,95.0,98.0,88.0,48.0,85.0,73.0,80.0,,90.0,41.0,81.0,100.0,,62.0,93.0,88.0,,,,,,,,,,,,,,,,,,90.0,83.0,96.0,91.0,88.0,98.0,95.0,80.0,
02M411 - Baruch College Campus High School,,76.0,93.0,84.0,95.0,91.0,94.0,97.0,80.0,82.0,95.0,78.0,65.0,91.0,92.0,,88.0,,,84.0,96.0,88.0,,98.0,91.0,90.0,92.0,97.0,93.0,57.0,92.0,93.0,73.0,,85.0,71.0,88.0,96.0,,72.0,83.0,92.0,,,,,,,,,,,,,,,,,,95.0,100.0,99.0,95.0,83.0,99.0,96.0,91.0,
02M412 - N.Y.C. Lab School for Collaborative Studies,,69.0,84.0,85.0,93.0,86.0,93.0,95.0,78.0,70.0,94.0,77.0,69.0,87.0,92.0,,87.0,,,83.0,81.0,96.0,,94.0,95.0,85.0,81.0,92.0,85.0,58.0,78.0,78.0,85.0,,91.0,81.0,86.0,96.0,,70.0,83.0,87.0,,,,,,,,,,,,,,,,,,94.0,98.0,97.0,95.0,88.0,96.0,97.0,91.0,
02M413 - School of the Future High School,,65.0,72.0,77.0,90.0,69.0,88.0,91.0,67.0,62.0,87.0,60.0,61.0,78.0,81.0,,90.0,,,76.0,90.0,92.0,,91.0,98.0,79.0,88.0,91.0,91.0,56.0,80.0,70.0,72.0,,93.0,72.0,86.0,95.0,,80.0,89.0,93.0,,,,,,,,,,,,,,,,,,94.0,90.0,93.0,91.0,85.0,96.0,93.0,84.0,
02M414 - N.Y.C. Museum School,,68.0,87.0,79.0,93.0,82.0,91.0,95.0,68.0,80.0,93.0,80.0,61.0,91.0,85.0,,84.0,,,87.0,90.0,92.0,,95.0,97.0,76.0,90.0,96.0,87.0,87.0,79.0,92.0,81.0,,92.0,94.0,84.0,97.0,,81.0,88.0,83.0,,,,,,,,,,,,,,,,,,92.0,89.0,97.0,92.0,81.0,97.0,94.0,92.0,
02M416 - Eleanor Roosevelt High School,,76.0,90.0,85.0,93.0,87.0,93.0,95.0,76.0,83.0,95.0,74.0,63.0,91.0,87.0,,93.0,,,82.0,91.0,95.0,,98.0,99.0,80.0,79.0,97.0,87.0,80.0,82.0,77.0,78.0,,95.0,87.0,82.0,94.0,,80.0,74.0,86.0,,,,,,,,,,,,,,,,,,96.0,87.0,98.0,93.0,87.0,98.0,97.0,91.0,
